Application Number,Application Date,Application Type,Address,Object Status Type,Application Status,File Lead,Brief Description,Object Status Date,Ward #,Ward,
D07-12-19-0181,2019-11-04,Site Plan Control,122 RUSSELL Avenue,Agreement Registered - Securities Held,Post Approval,Steve Gauthier,"Demolish existing houses at 122 & 118 Russell to a new 3 storey apartment building on the southerly lot. 2nd phase, a second 3 storey apartment building will be cosntructed.  A shared common driveway & a 4 car parking lot at the rear of the site.",2022-01-06 14:01,Ward 12,RIDEAU-VANIER,
D07-16-19-0030,2019-11-12,Plan of Subdivision,2065 PORTOBELLO Boulevard,OMB Package Sent,Active,Shoma Murshid,"Plan of subdivision containing 48 singles, 61 townhouses, 312 apartment units, a transitway corridor and a park expansion.",2021-11-04 12:38,Ward 19,ORLÉANS SOUTH-NAVAN,
D07-12-19-0186,2019-11-13,Site Plan Control,367 PRESTON Street,Resubmission Deemed Adequate,Active,Andrew Mccreight,"The City of Ottawa has received a Site Plan Control application to permit a two-phase mixed-use development resulting in approximately 550 residential dwelling units, a variety of non-residential uses, underground parking with roughly 600 parking spaces, and building heights ranging from three to 26-storeys.",2021-07-19 10:08,Ward 14,SOMERSET,
D07-12-19-0186,2019-11-13,Site Plan Control,369 PRESTON Street,Resubmission Deemed Adequate,Active,Andrew Mccreight,"The City of Ottawa has received a Site Plan Control application to permit a two-phase mixed-use development resulting in approximately 550 residential dwelling units, a variety of non-residential uses, underground parking with roughly 600 parking spaces, and building heights ranging from three to 26-storeys.",2021-07-19 10:08,Ward 14,SOMERSET,
D07-12-19-0186,2019-11-13,Site Plan Control,371 PRESTON Street,Resubmission Deemed Adequate,Active,Andrew Mccreight,"The City of Ottawa has received a Site Plan Control application to permit a two-phase mixed-use development resulting in approximately 550 residential dwelling units, a variety of non-residential uses, underground parking with roughly 600 parking spaces, and building heights ranging from three to 26-storeys.",2021-07-19 10:08,Ward 14,SOMERSET,
D07-12-19-0186,2019-11-13,Site Plan Control,450 ROCHESTER Street,Resubmission Deemed Adequate,Active,Andrew Mccreight,"The City of Ottawa has received a Site Plan Control application to permit a two-phase mixed-use development resulting in approximately 550 residential dwelling units, a variety of non-residential uses, underground parking with roughly 600 parking spaces, and building heights ranging from three to 26-storeys.",2021-07-19 10:08,Ward 14,SOMERSET,
D07-12-19-0187,2019-11-15,Site Plan Control,1131 TERON Road,Agreement Signed,Active,Sarah Ezzio,Site Plan application is for 3 storey apt building at 1131 Teron Road and 9-storey apartment building at 1151 Teron Road with 11-space underground parking garage and surface parking in the hydro easement.,2023-02-08 19:32,Ward 4,KANATA NORTH,
D07-12-19-0187,2019-11-15,Site Plan Control,1151 TERON Road,Agreement Signed,Active,Sarah Ezzio,Site Plan application is for 3 storey apt building at 1131 Teron Road and 9-storey apartment building at 1151 Teron Road with 11-space underground parking garage and surface parking in the hydro easement.,2023-02-08 19:32,Ward 4,KANATA NORTH,
D07-12-19-0164,2019-10-01,Site Plan Control,2370 WALKLEY Road,Application File Pending,File Pending,Kelby Lodoen Unseth,2370 Walkley,2020-04-09 16:19,Ward 10,GLOUCESTER-SOUTHGATE,
D07-12-19-0167,2019-10-04,Site Plan Control,2070 SCOTT Street,Agreement Registered - Final Legal Clearance Given,Post Approval,Andrew Mccreight,"The City of Ottawa has received a Zoning By-law Amendment and Site Plan Control application to construct a 25-storey mixed-use building with ground-floor commercial units, a 4-level underground parking garage with access from Winona Avenue, and 264 residential units.",2022-06-09 16:27,Ward 15,KITCHISSIPPI,
D07-12-19-0167,2019-10-04,Site Plan Control,328 WINONA Avenue,Agreement Registered - Final Legal Clearance Given,Post Approval,Andrew Mccreight,"The City of Ottawa has received a Zoning By-law Amendment and Site Plan Control application to construct a 25-storey mixed-use building with ground-floor commercial units, a 4-level underground parking garage with access from Winona Avenue, and 264 residential units.",2022-06-09 16:27,Ward 15,KITCHISSIPPI,
D02-02-19-0123,2019-10-08,Zoning By-law Amendment,7000 CAMPEAU Drive,Application Approved by OMB,Inactive,Laurel Mccreight,"**PLEASE SEND COMMENTS TO KANATALAKES@OTTAWA.CA**
The City of Ottawa has received a concurrent Plan of Subdivision and Zoning By-law Amendment application to permit the development of a residential subdivision that includes a mix of housing types, parks, stormwater management ponds, open spaces, landscape buffers and roadways in Kanata North.",2022-03-22 11:47,Ward 4,KANATA NORTH,
D07-12-19-0171,2019-10-11,Site Plan Control,641 SLADEN Avenue,Application File Pending,File Pending,Jean-Charles Renaud,expansion of the current school building,2020-06-18 09:25,Ward 13,RIDEAU-ROCKCLIFFE,
D07-12-19-0172,2019-10-11,Site Plan Control,2505 SOLANDT Road,Application File Pending,File Pending,Mark Young,"The applicant is proposing the development of an 8-storey office building with approximately 18,452 square metres of office space. The new office building is proposed on the southern property at 2707 Solandt Road. As part of site plan control, a 30-metre setback from Shirley's Brook is proposed to provide a meander belt along the watercourse. Vehicle access will be provided via two access points on Solandt Road which will provide access to surface parking and the pick-up/drop-off area at the front of the building. A total of 443 surface vehicle parking spaces will be provided for employees and visitors. The parking spaces will consist of 247 parking spaces from the existing parking lot at 2505 Solandt Road and 196 new parking spaces that are proposed to be constructed with the new building.",2021-11-25 09:38,Ward 4,KANATA NORTH,
D07-12-19-0172,2019-10-11,Site Plan Control,2505 SOLANDT Road,Application File Pending,File Pending,Mark Young,"The applicant is proposing the development of an 8-storey office building with approximately 18,452 square metres of office space. The new office building is proposed on the southern property at 2707 Solandt Road. As part of site plan control, a 30-metre setback from Shirley's Brook is proposed to provide a meander belt along the watercourse. Vehicle access will be provided via two access points on Solandt Road which will provide access to surface parking and the pick-up/drop-off area at the front of the building. A total of 443 surface vehicle parking spaces will be provided for employees and visitors. The parking spaces will consist of 247 parking spaces from the existing parking lot at 2505 Solandt Road and 196 new parking spaces that are proposed to be constructed with the new building.",2021-11-25 09:38,Ward 4,KANATA NORTH,
D07-12-19-0172,2019-10-11,Site Plan Control,2707 SOLANDT Road,Application File Pending,File Pending,Mark Young,"The applicant is proposing the development of an 8-storey office building with approximately 18,452 square metres of office space. The new office building is proposed on the southern property at 2707 Solandt Road. As part of site plan control, a 30-metre setback from Shirley's Brook is proposed to provide a meander belt along the watercourse. Vehicle access will be provided via two access points on Solandt Road which will provide access to surface parking and the pick-up/drop-off area at the front of the building. A total of 443 surface vehicle parking spaces will be provided for employees and visitors. The parking spaces will consist of 247 parking spaces from the existing parking lot at 2505 Solandt Road and 196 new parking spaces that are proposed to be constructed with the new building.",2021-11-25 09:38,Ward 4,KANATA NORTH,
D07-12-19-0174,2019-10-18,Site Plan Control,2 VIA MODUGNO Place,Agreement Registered - Securities Held,Post Approval,Tracey Scaramozzino,12-Three-Bedroom residential units above the commercial attached to 16 stacked back to back towns.,2021-02-25 15:50,Ward 24,BARRHAVEN EAST,
D07-12-19-0176,2019-10-23,Site Plan Control,99 PARKDALE Avenue,Agreement Registered - Securities Held,Post Approval,Kimberley Baldwin,A Site Plan Control application to construct a 28-storey high-rise apartment building with 240 dwelling units and 220 vehicular parking spaces. Access to the underground parking garage is proposed to be shared with the abutting development on 121 Parkdale Ave from the rear lane.,2021-12-09 14:28,Ward 15,KITCHISSIPPI,
D02-02-19-0143,2019-12-13,Zoning By-law Amendment,147 LANGSTAFF Drive,By-law Passed - In Appeal Period,Post Approval,Sarah Mccormick,The City of Ottawa has received a Zoning By-law Amendment application to accomodate a subdivision establishing 84 townhouses and three 3 storey apartment buildings with a total of 75 apartment units.,2023-07-18 14:18,Ward 5,WEST CARLETON-MARCH,
D07-16-19-0034,2019-12-13,Plan of Subdivision,147 LANGSTAFF Drive,Draft Approved,File Pending,Sarah Mccormick,"The City of Ottawa has received a Draft Plan of Subdivision and Zoning By-law Amendment application to accommodate the development of a 189-unit residential subdivision, in a mix of townhouse and apartment building units",2023-04-18 14:57,Ward 5,WEST CARLETON-MARCH,
D07-12-19-0203,2019-12-13,Site Plan Control,473 ALBERT Street,Agreement Registered - Securities Held,Post Approval,John Bernier,Re-use pf existing structure to mixed-use development. 153 residential units. Restaurant on ground foor and 1.5 storeys of office space. Minor changes to underground parking levels.,2022-05-20 16:39,Ward 14,SOMERSET,
D07-12-19-0205,2019-12-16,Site Plan Control,1125 COLONEL BY Drive,Agreement Registered - Final Legal Clearance Given,Post Approval,Kimberley Baldwin,The City of Ottawa has received a Site Plan Control application to facilitate the development of a nine-storey student residence building with 166 dwelling units and approximately 450 beds.,2022-03-18 11:52,Ward 17,CAPITAL,
D07-12-19-0207,2019-12-16,Site Plan Control,593 LAURIER Avenue,Receipt of Agreement from Owner Pending,Post Approval,Andrew Mccreight,The City of Ottawa has received Zoning By-law Amendment and Site Plan Control applications to permit a new apartment building with approximately 63 dwelling units by adding a mid-rise residential tower addition to the existing heritage building (Alexander Fleck House).,2022-01-13 11:54,Ward 14,SOMERSET,
D07-05-19-0005,2019-12-18,Demolition Control,1705 CARLING Avenue,Agreement Registered - Securities Held,Post Approval,Jean-Charles Renaud,"PT LT 30, CON 10F, AS IN CR610060; OTTAWA/NEPEAN",2020-10-28 12:10,Ward 15,KITCHISSIPPI,
D07-05-19-0005,2019-12-18,Demolition Control,1705 CARLING Avenue,Agreement Registered - Securities Held,Post Approval,Jean-Charles Renaud,"PT LT 30, CON 10F, AS IN CR610060; OTTAWA/NEPEAN",2020-10-28 12:10,Ward 15,KITCHISSIPPI,
D07-05-19-0005,2019-12-18,Demolition Control,1705 CARLING Avenue,Agreement Registered - Securities Held,Post Approval,Jean-Charles Renaud,"PT LT 30, CON 10F, AS IN CR610060; OTTAWA/NEPEAN",2020-10-28 12:10,Ward 15,KITCHISSIPPI,
D07-05-19-0005,2019-12-18,Demolition Control,1705 CARLING Avenue,Agreement Registered - Securities Held,Post Approval,Jean-Charles Renaud,"PT LT 30, CON 10F, AS IN CR610060; OTTAWA/NEPEAN",2020-10-28 12:10,Ward 15,KITCHISSIPPI,
D07-05-19-0005,2019-12-18,Demolition Control,1705 CARLING Avenue,Agreement Registered - Securities Held,Post Approval,Jean-Charles Renaud,"PT LT 30, CON 10F, AS IN CR610060; OTTAWA/NEPEAN",2020-10-28 12:10,Ward 15,KITCHISSIPPI,
D07-05-19-0005,2019-12-18,Demolition Control,1705 CARLING Avenue,Agreement Registered - Securities Held,Post Approval,Jean-Charles Renaud,"PT LT 30, CON 10F, AS IN CR610060; OTTAWA/NEPEAN",2020-10-28 12:10,Ward 15,KITCHISSIPPI,
D07-12-19-0211,2019-12-20,Site Plan Control,"975 ORLEANS, BOUL D' ",Notice of Decision Sent,Inactive,Evode Rwagasore,new parking lot entrance / separation of parking lot from existing bus loop / provision of additional parking,2022-04-26 09:58,Ward 1,ORLÉANS EAST-CUMBERLAND,
D07-12-19-0211,2019-12-20,Site Plan Control,"975 ORLEANS, BOUL D' ",Notice of Decision Sent,Inactive,Evode Rwagasore,new parking lot entrance / separation of parking lot from existing bus loop / provision of additional parking,2022-04-26 09:58,Ward 1,ORLÉANS EAST-CUMBERLAND,
D07-12-19-0212,2019-12-20,Site Plan Control,"8466 JEANNE-D'ARC, BOUL ",Agreement Registered - Final Legal Clearance Given,Post Approval,Michael Boughton,A proposal for a 10-storey residential apartment building containing 214 units,2022-12-13 11:27,Ward 1,ORLÉANS EAST-CUMBERLAND,
D07-12-19-0212,2019-12-20,Site Plan Control,180 PRESTIGE Circle,Agreement Registered - Final Legal Clearance Given,Post Approval,Michael Boughton,A proposal for a 10-storey residential apartment building containing 214 units,2022-12-13 11:27,Ward 1,ORLÉANS EAST-CUMBERLAND,
D07-12-19-0209,2019-12-19,Site Plan Control,975 GLADSTONE Avenue,On Circulation; Initial Submission Review,Active,Steve Gauthier,347m2 warehouse addition to the rear of the existing building near Laurel Street plus a 177m2 secured loading bay.,2020-02-07 14:00,Ward 15,KITCHISSIPPI,
D07-12-19-0209,2019-12-19,Site Plan Control,975 GLADSTONE Avenue,On Circulation; Initial Submission Review,Active,Steve Gauthier,347m2 warehouse addition to the rear of the existing building near Laurel Street plus a 177m2 secured loading bay.,2020-02-07 14:00,Ward 15,KITCHISSIPPI,
D07-12-19-0209,2019-12-19,Site Plan Control,975 GLADSTONE Avenue,On Circulation; Initial Submission Review,Active,Steve Gauthier,347m2 warehouse addition to the rear of the existing building near Laurel Street plus a 177m2 secured loading bay.,2020-02-07 14:00,Ward 15,KITCHISSIPPI,
D07-12-19-0210,2019-12-19,Site Plan Control,1 CANFIELD Road,Receipt of Agreement from Owner Pending,Post Approval,Lisa Stern,"The City of Ottawa has received a Zoning By-law Amendment and Site Plan Control application to expand the existing church property, reconfigure the parking lot and construct a new community building that is intended to support the existing church",2023-05-09 12:42,Ward 9,KNOXDALE-MERIVALE,
D07-12-19-0215,2019-12-23,Site Plan Control,1050 BANK Street,Request for Agreement Received,Post Approval,Jean-Charles Renaud,"A Site Plan Control application to demolish the existing buildings on site and construct a six-storey building with 5,780 square metres GFA and 21 parking spaces and 25 bicycle spaces, consisting of ground floor retail-commercial and five floors containing 44 residential units.",2021-01-28 13:20,Ward 17,CAPITAL,
D07-12-19-0215,2019-12-23,Site Plan Control,1054 BANK Street,Request for Agreement Received,Post Approval,Jean-Charles Renaud,"A Site Plan Control application to demolish the existing buildings on site and construct a six-storey building with 5,780 square metres GFA and 21 parking spaces and 25 bicycle spaces, consisting of ground floor retail-commercial and five floors containing 44 residential units.",2021-01-28 13:20,Ward 17,CAPITAL,
D07-12-19-0215,2019-12-23,Site Plan Control,1056 BANK Street,Request for Agreement Received,Post Approval,Jean-Charles Renaud,"A Site Plan Control application to demolish the existing buildings on site and construct a six-storey building with 5,780 square metres GFA and 21 parking spaces and 25 bicycle spaces, consisting of ground floor retail-commercial and five floors containing 44 residential units.",2021-01-28 13:20,Ward 17,CAPITAL,
D07-12-19-0215,2019-12-23,Site Plan Control,1060 BANK Street,Request for Agreement Received,Post Approval,Jean-Charles Renaud,"A Site Plan Control application to demolish the existing buildings on site and construct a six-storey building with 5,780 square metres GFA and 21 parking spaces and 25 bicycle spaces, consisting of ground floor retail-commercial and five floors containing 44 residential units.",2021-01-28 13:20,Ward 17,CAPITAL,
D07-12-19-0189,2019-11-19,Site Plan Control,16 CEDAROW Court,Receipt of Agreement from Owner Pending,Post Approval,Colette Gorni,"Site plan Control application for next phase of the Wellings of Stitssville residential development. Proposal is for a  2- building apartment complex, A 6-storey building with  round floor retail uses and x220 apartments above will  fronti onto Hazeldean Road. A second 5-storey 194-unit building would be located to the rear of the first building. A landscaped courtyard and surface parking lot is located bewtween the tewo buildings. An underground parking garae will provide parking for 400 vehicles.",2023-03-21 11:31,Ward 6,STITTSVILLE,
D07-12-19-0189,2019-11-19,Site Plan Control,20 CEDAROW Court,Receipt of Agreement from Owner Pending,Post Approval,Colette Gorni,"Site plan Control application for next phase of the Wellings of Stitssville residential development. Proposal is for a  2- building apartment complex, A 6-storey building with  round floor retail uses and x220 apartments above will  fronti onto Hazeldean Road. A second 5-storey 194-unit building would be located to the rear of the first building. A landscaped courtyard and surface parking lot is located bewtween the tewo buildings. An underground parking garae will provide parking for 400 vehicles.",2023-03-21 11:31,Ward 6,STITTSVILLE,
D07-12-19-0190,2019-11-20,Site Plan Control,605 VIA MATTINO Way,Application File Pending,File Pending,Kelby Lodoen Unseth,"88 units across five low rise (three storey) apartment buildings.  Three with 16 units, 2 with 20 units",2022-12-08 13:24,Ward 24,BARRHAVEN EAST,
D07-12-19-0191,2019-11-20,Site Plan Control,4837 ALBION Road,Application Reactivated,Active,Krishon Walker,Addition to existing Casino,2023-03-08 11:04,Ward 20,OSGOODE,
D07-12-19-0192,2019-11-21,Site Plan Control,261 COLUMBUS Avenue,Agreement Registered - Final Legal Clearance Given,Post Approval,Kimberley Baldwin,A Site Plan Control application to construct a four-storey low-rise apartment building with 34 dwelling units. Thirteen vehicular parking spaces and approximately seventeen bicycle parking spaces are proposed.,2021-08-20 13:03,Ward 13,RIDEAU-ROCKCLIFFE,
D07-12-19-0192,2019-11-21,Site Plan Control,265 COLUMBUS Avenue,Agreement Registered - Final Legal Clearance Given,Post Approval,Kimberley Baldwin,A Site Plan Control application to construct a four-storey low-rise apartment building with 34 dwelling units. Thirteen vehicular parking spaces and approximately seventeen bicycle parking spaces are proposed.,2021-08-20 13:03,Ward 13,RIDEAU-ROCKCLIFFE,
D07-12-19-0192,2019-11-21,Site Plan Control,265 COLUMBUS Avenue,Agreement Registered - Final Legal Clearance Given,Post Approval,Kimberley Baldwin,A Site Plan Control application to construct a four-storey low-rise apartment building with 34 dwelling units. Thirteen vehicular parking spaces and approximately seventeen bicycle parking spaces are proposed.,2021-08-20 13:03,Ward 13,RIDEAU-ROCKCLIFFE,
D07-04-19-0030,2019-11-27,Plan of Condominium,1489 WEYBURN Street,Agreement Registered - Securities Held,Post Approval,Kelby Lodoen Unseth,Conversion of existing 10 building apartment complex to 10 unit vacant land condominium - each building to be a separate condominium unit.,2022-10-17 14:04,Ward 18,ALTA VISTA,
D07-12-19-0196,2019-11-26,Site Plan Control,246 GILMOUR Street,Receipt of Agreement from Owner Pending,Post Approval,Andrew Mccreight,"The City of Ottawa has received applications for a Zoning By-Law Amendment and Site Plan Control to permit the construction of a 6-storey, 22-unit apartment dwelling that includes communal rooftop amenity space, 1 car-sharing parking space, and 17 bicycle parking spaces.",2020-11-19 15:11,Ward 14,SOMERSET,
D07-12-19-0197,2019-11-28,Site Plan Control,2098 AVENUE P No Suffix,,Active,Tracey Scaramozzino,"proposal is for a planned unit deleopment with an ultimate build out of three buildings on the lot,with associated surface and underground parking....",2020-05-01 14:39,Ward 18,ALTA VISTA,
D07-12-19-0197,2019-11-28,Site Plan Control,1399 AVENUE U No Suffix,,Active,Tracey Scaramozzino,"proposal is for a planned unit deleopment with an ultimate build out of three buildings on the lot,with associated surface and underground parking....",2020-05-01 14:39,Ward 18,ALTA VISTA,
D07-12-19-0197,2019-11-28,Site Plan Control,530 TREMBLAY Road,,Active,Tracey Scaramozzino,"proposal is for a planned unit deleopment with an ultimate build out of three buildings on the lot,with associated surface and underground parking....",2020-05-01 14:39,Ward 18,ALTA VISTA,
D07-12-19-0200,2019-12-03,Site Plan Control,480 COPE Drive,Agreement Registered - Final Legal Clearance Given,Post Approval,Colette Gorni,"A Site Plan Control application to construct a two-storey elementary school (6500 sqm GFA), with 114 parking spaces",2021-05-31 13:22,Ward 6,STITTSVILLE,
D07-12-20-0017,2020-02-20,Site Plan Control,1265 TERON Road,Receipt of Agreement from Owner Pending,Post Approval,Colette Gorni,"Area to be developed is vacant. One the severance is finalized, the property 1243 Teron Road will become 1265 Teron Road. This application is to permit the development of a 9,281 square metres, one-storey industrial building",2021-03-18 11:23,Ward 4,KANATA NORTH,
D02-02-20-0011,2020-02-10,Zoning By-law Amendment,130 HUNTMAR Drive,Application File Pending,File Pending,Kieran Watson,"The City of Ottawa has received a concurrent Official Plan Amendment, Zoning By-law Amendment and Plan of Subdivision application to develop a mixed-use subdivision comprised of 631 residential units and blocks reserved for commercial uses, a school and a park.",2021-01-11 15:10,Ward 6,STITTSVILLE,
D01-01-20-0002,2020-02-10,Official Plan Amendment,130 HUNTMAR Drive,Application File Pending,File Pending,Kieran Watson,"The City of Ottawa has received a concurrent Official Plan Amendment, Zoning By-law Amendment and Plan of Subdivision application to develop a mixed-use subdivision comprised of 631 residential units and blocks reserved for commercial uses, a school and a park.",2021-01-11 15:09,Ward 6,STITTSVILLE,
D07-16-20-0005,2020-02-10,Plan of Subdivision,130 HUNTMAR Drive,Application File Pending,File Pending,Kieran Watson,"The City of Ottawa has received a concurrent Official Plan Amendment, Zoning By-law Amendment and Plan of Subdivision application to develop a mixed-use subdivision comprised of 631 residential units and blocks reserved for commercial uses, a school and a park.",2021-01-11 15:08,Ward 6,STITTSVILLE,
D07-12-20-0016,2020-02-19,Site Plan Control,"360 DESCHATELETS, AV ",Agreement Registered - Final Legal Clearance Given,Post Approval,Jean-Charles Renaud,"The proposed development is comprised of 85 apartment units. The building has two floors of underground parking, storage lockers, bicycle parking, and a rooftop amenity space.",2021-09-16 13:14,Ward 17,CAPITAL,
D07-12-20-0015,2020-02-18,Site Plan Control,4791 BANK Street,Agreement Registered - Securities Held,Post Approval,Sarah Ezzio,The City of Ottawa has received a Site Plan Control application to permit the construction of a planned unit development consisting of 102 residential townhome units distributed between 7 three storey residential buildings. The development will include a private internal road network and 142 parking spaces.,2022-05-25 14:32,Ward 22,RIVERSIDE SOUTH-FINDLAY CREEK,
D02-02-20-0015,2020-02-25,Zoning By-law Amendment,3252 NAVAN Road,Application File Pending,File Pending,Kelly Livingstone,"This Zoning by-law Amendment application is to review the appropriateness for residential zones to be introduced at this subject site in order to permit 48 stacked townhouse dwelling units, 44 (back-to-back) townhouse dwellings, 218 townhouse dwellings, 11 single family dwellings and three pathways connections.  An Open space will be dedicated at the southern part of the subject site (~2.52 hectares).",2020-04-21 12:42,Ward 19,ORLÉANS SOUTH-NAVAN,
D07-05-20-0001,2020-01-22,Demolition Control,1 GRANT Street,Agreement Registered - Final Legal Clearance Given,Post Approval,Seana Turkington,"The Owner seeks to demolish an existing single-detached dwelling (#3 Grant) located on the west side of the property, which also contains an existing automotive garage. The purpose is to expand and make more functional the existing parking area for the garage. Approval for a Permission application to allow for the expansion of the non-conforming automobile use parking area was granted in 2014 by the Committee of Adjustment.",2022-06-07 14:42,Ward 15,KITCHISSIPPI,
D07-05-20-0001,2020-01-22,Demolition Control,3 GRANT Street,Agreement Registered - Final Legal Clearance Given,Post Approval,Seana Turkington,"The Owner seeks to demolish an existing single-detached dwelling (#3 Grant) located on the west side of the property, which also contains an existing automotive garage. The purpose is to expand and make more functional the existing parking area for the garage. Approval for a Permission application to allow for the expansion of the non-conforming automobile use parking area was granted in 2014 by the Committee of Adjustment.",2022-06-07 14:42,Ward 15,KITCHISSIPPI,
D07-12-20-0005,2020-01-23,Site Plan Control,1357 BASELINE Road,Agreement Registered - Securities Held,Post Approval,Tracey Scaramozzino,"the proposal for a single mixt use building composed of a podium. The proposal includes 374 dwelling units, 28 rooming units, 3 commercial units, uses ancillary to a retirment home, 334 parking stalls ( internalized and below grade), and a total GFA of approximately 26,527.5 m2",2022-08-24 13:48,Ward 16,RIVER,
D07-12-20-0005,2020-01-23,Site Plan Control,1405 BASELINE Road,Agreement Registered - Securities Held,Post Approval,Tracey Scaramozzino,"the proposal for a single mixt use building composed of a podium. The proposal includes 374 dwelling units, 28 rooming units, 3 commercial units, uses ancillary to a retirment home, 334 parking stalls ( internalized and below grade), and a total GFA of approximately 26,527.5 m2",2022-08-24 13:48,Ward 16,RIVER,
D07-16-20-0002,2020-01-30,Plan of Subdivision,3317 NAVAN Road,Application File Pending,File Pending,Stephen Belan,"Part of Lots 3 & 4 Concession 4, Ottawa Front, Geographic Township of Gloucester, & Blocks 41 & 53 on 4M-1529, City of Ottawa",2020-03-18 16:49,Ward 19,ORLÉANS SOUTH-NAVAN,
D07-12-20-0011,2020-01-30,Site Plan Control,437 DONALD B. MUNRO Drive,Application Approved,Inactive,Jeffrey C Ostafichuk,"The City of Ottawa has received a Site Plan Control application to accommodate the development of a low-rise, two storey mixed-use building of four units with a gross floor area of 772 square metres along with associated parking and landscaping.",2023-02-23 14:20,Ward 5,WEST CARLETON-MARCH,
D02-02-20-0008,2020-02-03,Zoning By-law Amendment,760 RIVER Road,Comment Period in Progress,Active,Tracey Scaramozzino,55 Detached residential dwellings,2020-02-21 09:20,Ward 22,RIVERSIDE SOUTH-FINDLAY CREEK,
D07-16-20-0003,2020-02-03,Plan of Subdivision,760 RIVER Road,Comment Period in Progress,Active,Tracey Scaramozzino,55 detached residential dwellings,2020-02-21 09:22,Ward 22,RIVERSIDE SOUTH-FINDLAY CREEK,
D07-12-20-0028,2020-03-23,Site Plan Control,4055 RUSSELL Road,Agreement Registered - Securities Held,Post Approval,Melanie Gervais,"The proposed National Capital Business Park (NCBP) will be a premier business and industrial park to service the warehousing, data communications centres, distribution and employment needs of the National Capital Region by providing over 100,000 m2 (1,000,000 ft2) of new build-to-suit office, warehouse, and industrial space on approximately 40 ha (100 acres) of land including approximately 940 parking spaces.

The NCBP will be composed of 3 distinct sites, developed, planned and designed as a cohesive industrial park through urban design, landscape architecture, and architecture. Site 1 proposes one building of 8,325 m2, Site 2 proposes two buildings totalling 17,400m2 and Site 3 proposes one large building of 64,200m2 and two smaller buildings of 10,350m2 and 470m2.",2022-05-12 10:57,Ward 10,GLOUCESTER-SOUTHGATE,
D07-12-20-0028,2020-03-23,Site Plan Control,4055 RUSSELL Road,Agreement Registered - Securities Held,Post Approval,Melanie Gervais,"The proposed National Capital Business Park (NCBP) will be a premier business and industrial park to service the warehousing, data communications centres, distribution and employment needs of the National Capital Region by providing over 100,000 m2 (1,000,000 ft2) of new build-to-suit office, warehouse, and industrial space on approximately 40 ha (100 acres) of land including approximately 940 parking spaces.

The NCBP will be composed of 3 distinct sites, developed, planned and designed as a cohesive industrial park through urban design, landscape architecture, and architecture. Site 1 proposes one building of 8,325 m2, Site 2 proposes two buildings totalling 17,400m2 and Site 3 proposes one large building of 64,200m2 and two smaller buildings of 10,350m2 and 470m2.",2022-05-12 10:57,Ward 10,GLOUCESTER-SOUTHGATE,
D07-12-20-0028,2020-03-23,Site Plan Control,4120 RUSSELL Road,Agreement Registered - Securities Held,Post Approval,Melanie Gervais,"The proposed National Capital Business Park (NCBP) will be a premier business and industrial park to service the warehousing, data communications centres, distribution and employment needs of the National Capital Region by providing over 100,000 m2 (1,000,000 ft2) of new build-to-suit office, warehouse, and industrial space on approximately 40 ha (100 acres) of land including approximately 940 parking spaces.

The NCBP will be composed of 3 distinct sites, developed, planned and designed as a cohesive industrial park through urban design, landscape architecture, and architecture. Site 1 proposes one building of 8,325 m2, Site 2 proposes two buildings totalling 17,400m2 and Site 3 proposes one large building of 64,200m2 and two smaller buildings of 10,350m2 and 470m2.",2022-05-12 10:57,Ward 10,GLOUCESTER-SOUTHGATE,
D07-16-20-0009,2020-03-26,Plan of Subdivision,470 TREMBLAY Road,No Appeal,Post Approval,Sean Moore,"The application is for the development of mixed-use blocks, 2 municipal roads, a stormwater management block, and a public park",2021-06-14 14:09,Ward 18,ALTA VISTA,
D07-16-20-0009,2020-03-26,Plan of Subdivision,599 TREMBLAY Road,No Appeal,Post Approval,Sean Moore,"The application is for the development of mixed-use blocks, 2 municipal roads, a stormwater management block, and a public park",2021-06-14 14:09,Ward 18,ALTA VISTA,
D07-12-20-0031,2020-03-27,Site Plan Control,200 NIPISSING Court,Agreement Registered - Final Legal Clearance Given,Post Approval,Colette Gorni,"New warehouse building 35,000 sq.ft including ancillary office, showroom, a 5,000 sq.ft mezzanine housing some of the office and storage, remainder of building is warehouse with covered loading area and depressed loading dock.",2021-07-09 09:47,Ward 4,KANATA NORTH,
D07-12-20-0035,2020-04-02,Site Plan Control,320 MCRAE Avenue,Agreement Registered - Securities Held,Post Approval,Kimberley Baldwin,"The City of Ottawa has received a Zoning By-law Amendment and Site Plan Control application to construct a 26-storey, mixed-use development containing 336 residential units, ground floor commercial/retail, and 180 underground parking spaces.",2023-04-14 14:29,Ward 15,KITCHISSIPPI,
D07-12-20-0035,2020-04-02,Site Plan Control,320 MCRAE Avenue,Agreement Registered - Securities Held,Post Approval,Kimberley Baldwin,"The City of Ottawa has received a Zoning By-law Amendment and Site Plan Control application to construct a 26-storey, mixed-use development containing 336 residential units, ground floor commercial/retail, and 180 underground parking spaces.",2023-04-14 14:29,Ward 15,KITCHISSIPPI,
D07-12-20-0035,2020-04-02,Site Plan Control,315 TWEEDSMUIR Avenue,Agreement Registered - Securities Held,Post Approval,Kimberley Baldwin,"The City of Ottawa has received a Zoning By-law Amendment and Site Plan Control application to construct a 26-storey, mixed-use development containing 336 residential units, ground floor commercial/retail, and 180 underground parking spaces.",2023-04-14 14:29,Ward 15,KITCHISSIPPI,
